,,,,,
Plant,Disease,Solution,Sources,Penyebab,Pencegahan
Chilli,"Leaf spot/
bercak daun","fungisida Topsin, Velimek, dan Benlate yang diberikan secara 
berselang-seling. Apabila serangan meluas, Anda bisa gunakan 
Antracol 2–3 gram/l.","https://dkpp.bulelengkab.go.id/informasi/detail/artikel/32_langkah-tepat-mengendalikan-penyakit-tanaman-cabai#:~:text=Penyakit%20bercak%20daun%20dapat%20diatasi,2%E2%80%933%20gram%2Fl.&text=Penyakit%20busuk%20buah%20dapat%20dikendalikan,infeksi%20tidak%20sampai%20titik%20tumbuh. 

https://plantix.net/id/library/plant-diseases/100085/chilli-cercospora-leaf-spot/ ","pengaplikasian pupuk kimia dengan kadar nitrogen yang
tinggi justru membawa malapetaka bagi tanaman 
terutama saat musim penghujan. Kadar nitrogen tinggi 
bisa memicu timbulnya patogen penyakit sebab unsur 
nitrogen itu sendiri bisa menjadi sumber makanan bagi 
patogen penyakit. ",
,,"penyemprotan daun dengan produk yang mengandung tembaga 
hidroksida, klorotalonil, atau mancozeb pada saat bercak pertama 
kali muncul, dan berlanjut pada selang 10-14 hari hingga 3-4 minggu 
sebelum panen",,"disebabkan oleh Cercospora capsici. Jamur ini 
menyebar melalui percikan air, curah hujan, angin dan 
melalui kontak daun ke daun dan melalui peralatan kerja 
maupun pekerja.",
,"Whitefly/kutu 
putih/kutu kebul","menyemprotkan insektisida cair yang merupakan racun 
kontak sistemik dengan bahan aktif imidiakloprid dan 
spirotetramat dengan kandungan masing-masing 120 gram/liter. ","https://pertanian.sultengprov.go.id/pengendalian-hama-kutu-putih/

https://faperta.umsu.ac.id/2023/05/22/penyebab-kutu-putih-pada-tanaman-dan-cara-membasminya/ ","1. Memberi tanaman terlalu banyak air dapat menyebabkan 
kondisi tanah yang terlalu lembab dan kelembaban tinggi di 
sekitar tanaman.
2. Pemberian pupuk yang berlebihan dapat menyebabkan
 pertumbuhan yang tidak seimbang pada tanaman.
3. Kutu putih lebih cenderung berkembang biak dan 
menyerang tanaman jika kondisi lingkungan memenuhi 
persyaratan mereka.
4. Kutu putih dapat ditularkan melalui serangga vektor seperti
 semut atau lebah yang membawa telur atau individu dewasa
 kutu putih ke tanaman lain.
5. Kutu putih dapat dibawa oleh angin atau hama lain yang 
terdapat pada tanaman yang terinfestasi, dan kemudian 
menyebar ke tanaman lain di sekitarnya.","1. Lakukan pergiliran tanaman bukan inang
2. Pada Lahan pertanaman lakukan pemasangan 
perangkap warna kuning
3. Pembuatan rumah kelambu
4. Sanitasi tanaman"
,,"1. Memelihara serangga pemangsa alami, seperti kepik, kelompok coccinellidae (kumbang mari), atau larva parasitoid, dapat membantu mengendalikan populasi kutu putih secara alami.
2. Menggunakan semprotan air bertekanan rendah, semprotkan air pada tanaman yang terinfestasi.
3. Semprot Minyak Nimba
Minyak nimba adalah insektisida nabati yang efektif dalam mengendalikan kutu putih. Larutkan minyak nimba dalam air sesuai dengan petunjuk pada kemasan, lalu semprotkan pada tanaman yang terinfestasi.
4. Larutan Bawang Putih
Bawang putih mengandung senyawa allicin yang dapat mengusir kutu putih. Haluskan beberapa siung bawang putih, tambahkan air, diamkan beberapa jam, lalu saring dan semprotkan larutan tersebut pada tanaman.
5. Menggunakan kapas yang direndam dalam alkohol dan menggosokkan langsung pada kutu putih dapat membunuh serangga tersebut. Namun, sebaiknya uji terlebih dahulu pada sebagian kecil tanaman untuk memastikan tanaman tidak terlalu sensitif terhadap alkohol.",,,
,Leaf curl/ ,"1. memotong daun yang terserang hama atau mencabut tanaman 
jika belum terjadi serangan yang banyak.
2. Untuk mengurangi penyakit, musnahkan tanaman cabe yang telah
parah terserang.
3. memberikan jeda pada periode tanam berikutnya dengan tidak 
menanami lahan dengan tanaman yang sejenis.
4. menyemprotkan biopestisida nabati dari larutan daun antawali, 
kapur dan kunyit.
5. , jika sudah terjadi serangan pada seluruh tanaman, maka harus 
dilakukan pencabutan dan pembakaran untuk mencegah serangan 
hama pada periode tanam mendatang.","https://distan.bulelengkab.go.id/informasi/detail/artikel/mengenal-hama-dan-penyakit-tanaman-cabai-20#:~:text=Pada%20tanaman%20cabe%2C%20serangan%20tungau,akan%20menjadi%20coklat%20dan%20mati. 

https://www.kompas.com/homey/read/2022/02/24/131448076/3-hama-penyebab-daun-tanaman-cabai-keriting-dan-cara-mengatasinya?page=all ","Penyebab serangan penyakit mosaik adalah Cucumber 
Mosaic Virus (CMV). Gejalanya, pertumbuhan menjadi kerdil, 
warna daun belang-belang hijau tua dan hijau muda, ukuran 
daun lebih kecil, tulang daun akan berubah menguning. 
Penyakit ini bisa menyebar dan menular ke tanaman lain 
oleh aktivitas serangga.","1. Pemilhan benih tahan virus membantu 
menghindari resiko serangan penyakit ini. 
2. Menjaga kebersihan lingkungan tanaman dengan 
melakukan penyiangan gulma.
3. Usahakan menyiram tanaman dengan menggunakan 
springkler, agar daun-daun tanaman ikut tercuci. 
Jauhkan tanaman cabai dari tanaman-tanaman yang 
menjadi inang bagi hama thrips seperti terong-terongan, 
semangka dan lain-lain."
,yellowish/kekuningan,"1. Penggunaan benih sehat
2. Pengelolaan intensif pada pembibitan. Pengelolaan yang baik pada 
saat pembibitan dapat menghindarkan tanaman terinfeksi virus saat 
masih bibit. Tempat persemaian disungkup dengan kain kasa atau 
plastik yang dilubangi untuk menghindari infestasi kutu kebul.
3. Pemasangan sticky trap warna kuning terbukti mampu mengurangi 
populasi kutu kebul. 
4. Pemasangan mulsa plastik yang berwarna reflektif seperti warna 
perak terbukti dapat mengendalikan kutu kebul sebagai vektor 
penyakit kuning. 
5. Penanaman jagung sebagai tanaman pagar/penghalang.
6. Sanitasi gulma","https://digitani.ipb.ac.id/seri-hama-dan-penyakit-cabai-virus-kuning-bagian-3/ 

https://mitrabertani.com/artikel/detail/Tips-Jitu-Mengendalikan-Virus-Kuning-pada-Tanaman-Cabai ","Penyakit yang disebabkan oleh virus gemini disebut juga 
dengan penyakit kuning, penyakit bulai, dan penyakit kerdil.
Genus Geminivirus yang ditemui pada cabai adalah Genus 
Begomovirus (sub grup III), yang ditularkan oleh serangga 
vektor kutu kebul yang menginfeksi tanaman dikotil, termasuk 
cabai. Beberapa teknik budi daya yang memengaruhi dan menjadi 
pemicu perkembangan penyakit, antara lain:
1. Kurangnya pengelolaan intensif saat pembibitan
2. Kurangnya sanitasi gulma
3. Waktu tanam yang tidak serempak
4. Penggunaan benih tidak sehat
5. Tanaman kekurangan air dan unsur hara","Langkah pengendalian yang beliau lakukan dengan aplikasi 
fungisida sistemik dan kontak serta bakterisida. dengan 
melakukan spray dengan fungisida sistemik dan kontak 
kemudian selang 3 hari sekali aplikasikan bakterisida. fungisida 
sistemiknya bisa dengan bahan aktif azoksistrobin + 
difenokonazol ditambah fungisida kontak seperti bahan aktif 
Mankozeb. Kemudian untuk bakterisidanya dapat 
menggunakan bahan aktif tembaga hidroksida seperti Copcide 
77."
,Healthy/sehat,,,,
Tomato,bacterial spot/,,https://agribisnis.uma.ac.id/2023/02/04/mengenal-penyakit-pada-tanaman-tomat/ ,"Penyakit bercak daun disebabkan oleh jamur Cercospora 
capsici, pada bagian daun yang sudah terserang akan nampak 
bintik-bintik bulat dan memiliki warna hitam kecoklatan. Secara 
perlahan daun akan menjadi menguning dan pada akhirnya 
rontok.","1. selalu menjaga kebersihan areal budidaya dan 
menggunakan mulsa plastik ketika musim penghujan.
2. Pada saat musim penghujan disarankan untuk melakukan 
penanaman dengan jarak yang tidak terlalu rapat supaya 
sirkulasi udara menjadi lancar dan bisa mengurangi 
kelembaban.
3. Pencegahan secara kimiawi bisa dilakukan dengan 
menyemprotkan fungisida yang berbahan aktif antracol, 
mankozeb, saromyl, starmyl, atau score."
,early blight/hawar daun,"1. penggunaan mulsa plastik hitam perak, jerami, agens hayati, 
bahan organik.
2. pemangkasan ranting non produktif  ",https://www.researchgate.net/publication/348905630_DEMPLOT_BUDIDAYA_TANAMAN_TOMAT_TAHAN_PENYAKIT_HAWAR_DAUN_DI_LAMOMEA_KONAWE_SELATAN  ,"Penyakit hawar daun ditandai dengan adanya bercak  coklat sirkular 
pada permukaan daun yang disebabkan oleh A. solani. Patogen ini
dapat menyerang daun, ranting, tangkai  maupun buah tomat sehingga 
menyebabkan kerugian baik secara kuantitatif maupun kualitatif karena 
adanya buah-buah  yang  bergejala.   ",
,late blight/busuk daun,"1. memusnahkan tanaman terserang dan pengendalian gulma secara 
rutin. 
2. Pengaturan drainase sehingga tidak terjadi genangan air pada 
musim hujan.
3. Mulailah dengan merawat tanaman yang terinfeksi, berhati-hatilah 
membuang daun, batang, atau buah yang sakit. Pastikan membuang 
sisa-sisanya—pengomposan hanya dapat menyebarkan infeksi lebih 
lanjut ke semua kebun. Setelah menghilangkan semua tanda visual 
infeksi, oleskan fungisida berbasis tembaga ke tanaman setiap minggu 
guna mencegah penyakit busuk daun menyebar atau kembali. ",https://www.kompas.com/homey/read/2022/10/09/165617576/cara-mengatasi-dan-mencegah-penyakit-busuk-daun-pada-tomat-dan-kentang ,"Penyakit busuk daun disebabkan oleh infeksi patogen Phytophthora 
infestans. Cendawan tersebut dapat menyerang seluruh bagian 
tanaman, baik daun. Batang, pangkal batang, umbi, dan perakaran 
tanaman kentang","1. Pengendalian kimiawi menggunakan fungisida seperti Phytoklor 82,5 
WG atau Nuplant 722 SL sebagai langkah pencegahan pada saat 
serangan awal terbukti  efektif melindungi tanaman dari busuk daun 
untuk segala musim. 
2. Siram tanaman pada pagi hari sehingga punya waktu untuk 
mengering lebih cepat di bawah sinar matahari yang hangat."
,leaf mold/jamur daun,"1. singkirkan dedaunan yang terinfeksi dan mulsa taman yang mengelilingi tanaman tomat.
2. Untuk mencegah penyakit jamur, semprotkan larutan baking soda 
ke tanaman tomat setiap tujuh sampai 14 hari (atau setelah setiap 
hujan) sampai tingkat kelembapan tidak lagi menyebabkan infeksi.
3. Kemudian beri tanaman tomat semburan air yang kuat dari selang 
air untuk membantu melonggarkan spora jamur. ",https://www.kompas.com/homey/read/2021/11/13/083400876/tanaman-tomat-berjamur-atasi-dengan-baking-soda?page=all ,,
,mosaic virus,,"https://www.kompas.com/homey/read/2021/10/30/075600276/5-cara-mencegah-dan-mengatasi-virus-mosaik-pada-tanaman-cabai?page=all 

https://plantix.net/id/library/plant-diseases/200037/tobacco-mosaic-virus/ ","Virus mosaik dapat ditularkan melalui biji atau tanah dan disebarkan 
oleh serangga penghisap getah seperti kutu daun.",
,septoria leaf spot/bercak daun septoria,"menyebarkan tanaman dan menghindari penyiraman berlebihan. 
Buang daun yang terinfeksi dan tambahkan fungisida untuk infeksi 
membandel.  ","https://www.kompas.com/homey/read/2023/05/06/203000776/5-penyakit-yang-sering-menyerang-tanaman-tomat-dan-cara-mengatasinya?page=all#:~:text=Bercak%20daun%20Septoria%20adalah%20penyakit,sering%20ditemukan%20pada%20tanaman%20tomat. 

https://plantix.net/id/library/plant-diseases/100152/septoria-leaf-spot/ ",,
,spider mites,"menggunakan cairan alami dari air rebusan tembakau yang kemudian 
difermentasi dengan campuran alkohol, setelah itu cairan tersbut 
dapat disemprotkan ke tanaman yang dihinggapi spider mite. Untuk 
waktu penyemprotan dapat dilakukan pada sore hari","https://lapaskolonedale.kemenkumham.go.id/berita-utama/berikan-pengetahuan-pembasmian-hama-spider-mite-penyuluh-pertanian-sambangi-green-house-hidroponik-lapas-kolonodale  

https://plantix.net/id/library/plant-diseases/500004/spider-mites/ ","Tungau laba-laba atau spidermites merupakan hama kecil berwarna 
merah dan menghisap getah tanaman. Ia suka bersembunyi di bagian 
bawah tanaman.",
,target spot/bercak bakteri,,https://plantix.net/id/library/plant-diseases/300050/bacterial-spot-and-speck-of-tomato/ ,,
,"yellow leaf curl/virus 
kuning",,"https://mplk.politanikoe.ac.id/index.php/tungau-galendromus-occidentalis/136-topik-perlintan/547-opt-tanaman-tomat 
","Geminivirus termasuk kelompok virus tanaman dengan genomnya 
berupa DNA utas tunggal, berbentuk bundar, dan terselubung dalam 
virion ikosahedral kembar (geminate). Penyakit tidak ditularkan melalui 
biji, tetapi dapat menular melalui penyambungan dan melalui 
serangga vektor kutu kebul. Kutu kebul dapat menularkan geminivirus 
secara persisten (tetap;yaitu sekali makan pada tanaman yang 
mengandung virus, selamanya sampai menjelang mati dapat 
menularkan).","1. Menggunakan bibit tanaman yang sehat (tidak mengandung 
virus) atau bukan berasal dari daerah terserang;
2. Pengerodongan pesemaian dengan kain kassa/nylon untuk menghindari serangan vektor, dan di lapangan dengan menanam “companion planting” jagung dan tagetes (Tagetes erecta);
3. Pemasangan perangkap likat kuning (40 buah/ha);
4. Penggunaan mulsa plastik perak yang memantulkan sinar untuk 
menolak kedatangan vektor dan memutus siklus hidup (stadia 
pupa);
5. Melakukan rotasi / pergiliran tanaman dengan tanaman bukan inang virus. Rotasi tanaman akan lebih berhasil apabila dilakukan paling sedikit dalam satu hamparan, tidak perorangan, dilakukan serentak tiap satu musim tanam, dan seluas mungkin;
6. Melakukan sanitasi lingkungan, terutama mengendalikan 
tumbuhan pengganggu/gulma berdaun lebar dari jenis babadotan, 
gulma bunga kancing, dan ciplukan yang dapat menjadi tanaman 
inang virus;
7. Pemanfaatan musuh alami, dengan melepas parasitoid dan 
predator secara berkala, antara lain Menochilus sexmaculatus atau 
melepas parasitoid Encarcia formosa (1 ekor setiap 4 
tanaman/minggu, selama 8 – 10 minggu);
Penggunaan pestisida nabati nimba, tagetes, eceng gondok atau rumput laut;"
,Healthy/sehat,,,,